Name,Type,Ingredients,Price
DRUNK ELEPHANT,Sun Care,"-Zinc Oxide 20%: Provides powerful UV protection from harmful rays; ideal for all skin types including sensitive.
-Astaxanthin-rich Algae Extract: A potent antioxidant that provides defense from oxidative damage.
-Sunflower Sprout Extract: Helps neutraliz",$36.00 
SUPERGOOP!,Sun Care,"-Vitamin C: Helps supports skin from free radical damage.
-Green Tea Extract: Rich in antioxidant polyphenols that protect the skin from the damaging effect of free radicals.
-Acai Extract: Acts as good source of vitamins A, C, and E, and omega 3, 6, and ",$21.00 
MURAD,Sun Care,"-Oil-Trapping Microspheres: Deliver a smooth, soft-skin feel and reduce shine.
-Avocado and African Yellow Wood Bark Extracts: Help control oil and reduce oiliness.
-Chemical Sunscreens: Provide broad-spectrum UVA/UVB SPF 45 protection.

Water, Tapioca St",$42.00 
AMOREPACIFIC,Sun Care,"-Ethylhexyl Methoxycinnamate: 7%
-Titanium Dioxide: 4.15%
-Zinc Oxide: 9.8%

Phyllostachis Bambusoides Juice, Cyclopentasiloxane, Cyclohexasiloxane, Peg-10 Dimethicone, Phenyl Trimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Alcohol, ",$60.00 
LA MER,Sun Care,"-Avobenzone: Absorbs the full spectrum of UVA rays.
-Homosalate: A chemical UV filter
-Octisalate: Absorbs UVB rays

Water\Aqua\Eau, Butyloctyl Salicylate, Methyl Trimethicone, Neopentyl Glycol Diheptanoate, Aleurites Moluccana (Kukui) Seed Oil, Lauryl Pe",$95.00 
LANCÔME,Sun Care,"-Avobenzone (3%), Octisalate (5%), and Octocrylene (7%): Helps filter out the sun.

Avobenzone 3%, Octisalate 5%, Octocrylene 7%, Water, Glycerin, Dimethicone, Isononyl Isononanoate, Propanediol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Al",$109.00 
ORIGINS,Sun Care,"-Rosa Roxburghii: A natural skin brightener.
-Avobenzone 3%, Homosalate 5%, Octisalate 5%, and Octocrylene 2.70%

Water, Butyloctyl Salicylate, Behenyl Alcohol, Nylon-12, Octyldodecyl Neopentanoate, Butylene Glycol, Dimethicone, Myristyl Myristate, Cetyl ",$59.00 
SOL DE JANEIRO,Sun Care,"Homosalate, Octocrylene, Octisalate Avobenzone, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cocos Nucifera (Coconut) Oil, Vitis Vinifera (Grape) Seed Oil, Neopentyl Glycol Diheptanoate, Octyldodecanol, Fragrance, Dicaprylyl Carbonate, Euterpe Oleracea (Açaí) Fruit Oil, Mica, Silica, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Tin Oxide, Tocopherol, Tocopheryl Acetate, Calcium Aluminum Borosilicate, Iron Oxides, Titanium Dioxide.",$38.00 
SUPERGOOP!,Sun Care,"-Peppermint Oil: Helps supports the skin's oils to help diminish the look of clogged pores.
-Rosemary Oil: Rich in minerals and antioxidants that help protect against free radical damage.

Avobenzone 2.8%, Homosalate 9.8%, Octisalate 4.9%, Octocrylene 9.5",$30.00 
INNISFREE,Sun Care,"-Green Tea: Nurtures skin with soothing hydration.
-Cica: Soothes skin and reduces visible signs of irritation.
-Sunflower Seed Oil: Delivers lightweight moisture to skin.

Water / Aqua / Eau, Homosalate, Ethylhexyl Salicylate, Butylene Glycol, Cyclopenta",$15.00 
